Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
ItemPlaceholderIcon	0.250000	0.955078	0.437500	0.978516	64	1956	112	2004
BindStoneIcon	0.000000	0.000000	0.250000	0.048828	0	0	64	100
GoldUISingle	0.500000	0.031250	0.593750	0.042969	128	64	152	88
GoldUIPile	0.437500	0.955078	0.625000	0.978516	112	1956	160	2004
Scroll_of_Calling	0.000000	0.048828	0.250000	0.080078	0	100	64	164
Scroll_of_Companions	0.250000	0.048828	0.500000	0.080078	64	100	128	164
Scroll_of_Detection	0.500000	0.048828	0.750000	0.080078	128	100	192	164
Scroll_of_Forging	0.750000	0.048828	1.000000	0.080078	192	100	256	164
Scroll_of_Forging_Greater	0.000000	0.080078	0.250000	0.111328	0	164	64	228
Scroll_of_Forging_Sovereign	0.250000	0.080078	0.500000	0.111328	64	164	128	228
Scroll_of_Greed	0.500000	0.080078	0.750000	0.111328	128	164	192	228
Scroll_of_Identify	0.750000	0.080078	1.000000	0.111328	192	164	256	228
Scroll_of_Salvaging	0.000000	0.111328	0.250000	0.142578	0	228	64	292
Scroll_of_Wealth	0.250000	0.111328	0.500000	0.142578	64	228	128	292
RainbowPotion	0.500000	0.111328	0.750000	0.142578	128	228	192	292
HealthPotionMinor	0.750000	0.111328	1.000000	0.142578	192	228	256	292
HealthPotionLesser	0.000000	0.142578	0.250000	0.173828	0	292	64	356
HealthPotionNormal	0.250000	0.142578	0.500000	0.173828	64	292	128	356
HealthPotionGreater	0.500000	0.142578	0.750000	0.173828	128	292	192	356
HealthPotionMajor	0.750000	0.142578	1.000000	0.173828	192	292	256	356
HealthPotionSuper	0.000000	0.173828	0.250000	0.205078	0	356	64	420
HealthPotionHeroic	0.250000	0.173828	0.500000	0.205078	64	356	128	420
HealthPotionResplendent	0.500000	0.173828	0.750000	0.205078	128	356	192	420
HealthPotionRunic	0.750000	0.173828	1.000000	0.205078	192	356	256	420
HealthPotionMythic	0.000000	0.205078	0.250000	0.236328	0	420	64	484
Item_HealthPotion_Console	0.250000	0.205078	0.500000	0.236328	64	420	128	484
ResurrectionVial	0.500000	0.205078	0.750000	0.236328	128	420	192	484
Backpack_01	0.750000	0.205078	1.000000	0.236328	192	420	256	484
Backpack_02	0.000000	0.236328	0.250000	0.267578	0	484	64	548
Backpack_03	0.250000	0.236328	0.500000	0.267578	64	484	128	548
Backpack_04	0.500000	0.236328	0.750000	0.267578	128	484	192	548
Backpack_Expand	0.750000	0.236328	1.000000	0.267578	192	484	256	548
Pouch_01	0.000000	0.267578	0.250000	0.298828	0	548	64	612
