Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p1_ItemIcon_goldenidol	0.218750	0.250000	0.250000	0.500000	448	64	512	128
p1_ItemIcon_ConsumableSocket	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64
p2_Item_Potion_Health_Legendary01	0.062500	0.000000	0.093750	0.250000	128	0	192	64
p3_NephBag_Bonus_icon	0.093750	0.000000	0.125000	0.250000	192	0	256	64
p3_NephBag_World_icon	0.125000	0.000000	0.156250	0.250000	256	0	320	64
p4_SeasonalCache_Icon	0.156250	0.000000	0.187500	0.250000	320	0	384	64
cos_pennant_harvest_icon	0.187500	0.000000	0.218750	0.250000	384	0	448	64
cos_pet_babysiege_01_icon	0.218750	0.000000	0.250000	0.250000	448	0	512	64
cos_pet_CowKing_01_icon	0.250000	0.000000	0.281250	0.250000	512	0	576	64
cos_pet_crawlinghand_03_icon	0.281250	0.000000	0.312500	0.250000	576	0	640	64
cos_pet_fallenhound_04_icon	0.312500	0.000000	0.343750	0.250000	640	0	704	64
cos_pet_floatingSkull_01_icon	0.343750	0.000000	0.375000	0.250000	704	0	768	64
cos_pet_floatingSkull_02_icon	0.375000	0.000000	0.406250	0.250000	768	0	832	64
cos_pet_hoodednightmare_01_icon	0.406250	0.000000	0.437500	0.250000	832	0	896	64
cos_pet_nightmare_02_icon	0.437500	0.000000	0.468750	0.250000	896	0	960	64
cos_pet_voodoodoll_01_icon	0.468750	0.000000	0.500000	0.250000	960	0	1024	64
cos_wings_bat_04_icon	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64
cos_wings_bat_07_icon	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64
cos_wings_bfly_01_icon	0.187500	0.250000	0.218750	0.500000	384	64	448	128
cos_wings_bfly_03_icon	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64
cos_wings_bfly_galaxy_icon	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64
cos_wings_bird_01_icon	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64
cos_pet_spider_01_icon	0.687500	0.000000	0.718750	0.250000	1408	0	1472	64
cos_pet_bladedsoul_icon	0.718750	0.000000	0.750000	0.250000	1472	0	1536	64
cos_pet_zombie_icon	0.750000	0.000000	0.781250	0.250000	1536	0	1600	64
cos_pet_ghost_icon	0.781250	0.000000	0.812500	0.250000	1600	0	1664	64
cos_pet_succubus_01_icon	0.812500	0.000000	0.843750	0.250000	1664	0	1728	64
cos_pet_gluttony_01_icon	0.843750	0.000000	0.875000	0.250000	1728	0	1792	64
cos_pet_squire_icon	0.875000	0.000000	0.906250	0.250000	1792	0	1856	64
cos_pet_mimic_icon	0.906250	0.000000	0.937500	0.250000	1856	0	1920	64
cos_pet_goatman_melee_02_icon	0.937500	0.000000	0.968750	0.250000	1920	0	1984	64
cos_pet_yeti_icon	0.968750	0.000000	1.000000	0.250000	1984	0	2048	64
cos_pet_teddybear_04_icon	0.062500	0.250000	0.093750	0.500000	128	64	192	128
cosmetic_portrait_Whimsyshire_icon	0.093750	0.250000	0.125000	0.500000	192	64	256	128
cos_pet_moocow_icon	0.125000	0.250000	0.156250	0.500000	256	64	320	128
cos_pet_butcher_icon	0.156250	0.250000	0.187500	0.500000	320	64	384	128
p6_NephBag_Large_icon	0.031250	0.000000	0.062500	0.500000	64	0	128	128
ChallengeRift_NephBag_Large_icon	0.000000	0.000000	0.031250	0.500000	0	0	64	128
pet_wickerman_icon	0.250000	0.250000	0.281250	0.500000	512	64	576	128
pet_nightmare_01_icon	0.281250	0.250000	0.312500	0.500000	576	64	640	128
pet_nephalemGolem_01_icon	0.312500	0.250000	0.343750	0.500000	640	64	704	128
pet_jadeSerpent_03_icon	0.343750	0.250000	0.375000	0.500000	704	64	768	128
pet_teddyBear_06_icon	0.375000	0.250000	0.406250	0.500000	768	64	832	128
pet_crawlingHand_04_icon	0.406250	0.250000	0.437500	0.500000	832	64	896	128
pet_fallenHound_02_icon	0.437500	0.250000	0.468750	0.500000	896	64	960	128
pennant_bookofCain_icon	0.468750	0.250000	0.500000	0.500000	960	64	1024	128
pennant_bookofTyrael_icon	0.500000	0.250000	0.531250	0.500000	1024	64	1088	128
pennant_Halloween_icon	0.531250	0.250000	0.562500	0.500000	1088	64	1152	128
wings_andariel_01_icon	0.562500	0.250000	0.593750	0.500000	1152	64	1216	128
wings_bfly_04_icon	0.593750	0.250000	0.625000	0.500000	1216	64	1280	128
wings_seraphim_01_icon	0.625000	0.250000	0.656250	0.500000	1280	64	1344	128
wings_bat_08_icon	0.656250	0.250000	0.687500	0.500000	1344	64	1408	128
pennant_necro_01_icon	0.687500	0.250000	0.718750	0.500000	1408	64	1472	128
pennant_necro_02_icon	0.718750	0.250000	0.750000	0.500000	1472	64	1536	128
pet_bloodling_icon	0.750000	0.250000	0.781250	0.500000	1536	64	1600	128
pet_diablo_02_icon	0.781250	0.250000	0.812500	0.500000	1600	64	1664	128
pet_probe_02_icon	0.812500	0.250000	0.843750	0.500000	1664	64	1728	128
pet_Battlecruiser_A_icon	0.843750	0.250000	0.875000	0.500000	1728	64	1792	128
p7_cos_pet_Azmodan_01	0.875000	0.250000	0.906250	0.500000	1792	64	1856	128
p7_amiibo_rfid_01	0.906250	0.250000	0.937500	0.500000	1856	64	1920	128
p7_cos_pet_promo_01	0.937500	0.250000	0.968750	0.500000	1920	64	1984	128
p7_wing_promo_01	0.968750	0.250000	1.000000	0.500000	1984	64	2048	128
p7_cos_wings_Diablo	0.000000	0.500000	0.031250	0.750000	0	128	64	192
p7_wing_Cosmic_Bat_01	0.031250	0.500000	0.062500	0.750000	64	128	128	192
p7_pet_MalGanis	0.062500	0.500000	0.093750	0.750000	128	128	192	192
p67_wings_lilith_icon	0.093750	0.500000	0.125000	0.750000	192	128	256	192
p67_pet_treasureTyrael	0.125000	0.500000	0.154785	0.746094	256	128	317	191
