Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
x1_creepybook_01	0.067383	0.007813	0.098633	0.257813	138	2	202	66
x1_creepybook_02	0.034180	0.007813	0.065430	0.257813	70	2	134	66
x1_LootBag_Large	0.000977	0.007813	0.032227	0.507813	2	2	66	130
x1_LootBag_Small	0.100586	0.007813	0.131836	0.257813	206	2	270	66
x1_BloodShard	0.133789	0.007813	0.165039	0.257813	274	2	338	66
x1_Amulet_Westmarch	0.166992	0.007813	0.198242	0.257813	342	2	406	66
x1_Book_ScholarlyWritings	0.200195	0.007813	0.231445	0.257813	410	2	474	66
x1_SpectralHound_icon	0.233398	0.007813	0.264648	0.257813	478	2	542	66
x1_NephBag_icon	0.266602	0.007813	0.297852	0.257813	546	2	610	66
x1_NephalemRiftKeystone	0.299805	0.007813	0.331055	0.257813	614	2	678	66
x1_Player_Gift	0.333008	0.007813	0.364258	0.257813	682	2	746	66
x1_Avenger_Gift	0.366211	0.007813	0.397461	0.257813	750	2	814	66
x1_CraftingReagent_Legendary_Set_Asheara	0.399414	0.007813	0.430664	0.257813	818	2	882	66
x1_CraftingReagent_Legendary_Set_Aughild	0.432617	0.007813	0.463867	0.257813	886	2	950	66
x1_CraftingReagent_Legendary_Set_Borns	0.465820	0.007813	0.497070	0.257813	954	2	1018	66
x1_CraftingReagent_Legendary_Set_Cains	0.499023	0.007813	0.530273	0.257813	1022	2	1086	66
x1_CraftingReagent_Legendary_Set_CaptainCrimsons	0.532227	0.007813	0.563477	0.257813	1090	2	1154	66
x1_CraftingReagent_Legendary_Set_Demon	0.565430	0.007813	0.596680	0.257813	1158	2	1222	66
x1_CraftingReagent_Legendary_Set_Guardian	0.598633	0.007813	0.629883	0.257813	1226	2	1290	66
x1_CraftingReagent_Legendary_Set_Hallowed	0.631836	0.007813	0.663086	0.257813	1294	2	1358	66
x1_CraftingReagent_Legendary_Set_Sage	0.665039	0.007813	0.696289	0.257813	1362	2	1426	66
