Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Portrait_Busy_Hourglass	0.908203	0.001953	0.939453	0.033203	1860	4	1924	68
Portrait_ReadyCheck_Accept	0.943359	0.001953	0.958008	0.016602	1932	4	1962	34
Portrait_ReadyCheck_Decline	0.961914	0.001953	0.976563	0.016602	1970	4	2000	34
Portrait_ReadyCheck_Waiting	0.980469	0.001953	0.995117	0.016602	2008	4	2038	34
Portrait_Barbarian_Female	0.455078	0.001953	0.564453	0.120117	932	4	1156	246
Portrait_Barbarian_Male	0.568359	0.001953	0.677734	0.120117	1164	4	1388	246
Portrait_Crusader_Female	0.681641	0.001953	0.791016	0.120117	1396	4	1620	246
Portrait_Crusader_Male	0.794922	0.001953	0.904297	0.120117	1628	4	1852	246
Portrait_Monk_Male	0.001953	0.124023	0.111328	0.242188	4	254	228	496
Portrait_Monk_Female	0.115234	0.124023	0.224609	0.242188	236	254	460	496
Portrait_Demonhunter_Female	0.228516	0.124023	0.337891	0.242188	468	254	692	496
Portrait_Demonhunter_Male	0.341797	0.124023	0.451172	0.242188	700	254	924	496
Portrait_Witchdoctor_Female	0.455078	0.124023	0.564453	0.242188	932	254	1156	496
Portrait_Witchdoctor_Male	0.568359	0.124023	0.677734	0.242188	1164	254	1388	496
Portrait_WD_ZombieDog	0.681641	0.124023	0.791016	0.242188	1396	254	1620	496
Portrait_Wizard_Female	0.794922	0.124023	0.904297	0.242188	1628	254	1852	496
Portrait_Wizard_Male	0.001953	0.246094	0.111328	0.364258	4	504	228	746
Portrait_Follower_Templar	0.115234	0.246094	0.224609	0.364258	236	504	460	746
Portrait_Jondar	0.228516	0.246094	0.337891	0.364258	468	504	692	746
Portrait_Warriv	0.341797	0.246094	0.451172	0.364258	700	504	924	746
Portrait_Blacksmith_Jornham	0.455078	0.246094	0.564453	0.364258	932	504	1156	746
Portrait_CaptainRumfoord	0.568359	0.246094	0.677734	0.364258	1164	504	1388	746
Portrait_CryingGhost_Female_01_A	0.681641	0.246094	0.791016	0.364258	1396	504	1620	746
Portrait_Hermit	0.794922	0.246094	0.904297	0.364258	1628	504	1852	746
Portrait_Mystic_B	0.001953	0.368164	0.111328	0.486328	4	754	228	996
Portrait_Hub_CaravanLeader	0.115234	0.368164	0.224609	0.486328	236	754	460	996
Portrait_Ahmed	0.228516	0.368164	0.337891	0.486328	468	754	692	996
Portrait_Ferryman	0.341797	0.368164	0.451172	0.486328	700	754	924	996
Portrait_Alive_Queen_Leoric	0.455078	0.368164	0.564453	0.486328	932	754	1156	996
Portrait_Priest	0.568359	0.368164	0.677734	0.486328	1164	754	1388	996
Portrait_Dixon	0.681641	0.368164	0.791016	0.486328	1396	754	1620	996
Portrait_Lachdanan	0.794922	0.368164	0.904297	0.486328	1628	754	1852	996
Portrait_Abd-al-Hazir	0.001953	0.490234	0.111328	0.608398	4	1004	228	1246
Portrait_Jeweler	0.115234	0.490234	0.224609	0.608398	236	1004	460	1246
Portrait_TristramMayor	0.001953	0.001953	0.111328	0.120117	4	4	228	246
Portrait_Stranger	0.341797	0.490234	0.451172	0.608398	700	1004	924	1246
Portrait_Adria	0.455078	0.490234	0.564453	0.608398	932	1004	1156	1246
Portrait_Leah	0.568359	0.490234	0.677734	0.608398	1164	1004	1388	1246
Portrait_Cain	0.681641	0.490234	0.791016	0.608398	1396	1004	1620	1246
Portrait_Maghda	0.794922	0.490234	0.904297	0.608398	1628	1004	1852	1246
Portrait_Ghost_Queen_Leoric	0.001953	0.612305	0.111328	0.730469	4	1254	228	1496
Portrait_Skeletonking	0.115234	0.612305	0.224609	0.730469	236	1254	460	1496
Portrait_Nephalem_Spirit	0.228516	0.612305	0.337891	0.730469	468	1254	692	1496
Portrait_Alaric	0.341797	0.612305	0.451172	0.730469	700	1254	924	1496
Portrait_TristramGuard_A	0.455078	0.612305	0.564453	0.730469	932	1254	1156	1496
Portrait_TristramGuard_B	0.568359	0.612305	0.677734	0.730469	1164	1254	1388	1496
