Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Portrait_Caldeumguardcatpain	0.001953	0.001953	0.111328	0.120117	4	4	228	246
Portrait_Caldeumguardcatpain_A	0.115234	0.001953	0.224609	0.120117	236	4	460	246
Portrait_CaldeumTortured_Male_C	0.228516	0.001953	0.337891	0.120117	468	4	692	246
Portrait_CaldeumTortured_Male_G	0.341797	0.001953	0.451172	0.120117	700	4	924	246
Portrait_CaldeumWealthy_Female_A	0.455078	0.001953	0.564453	0.120117	932	4	1156	246
Portrait_CaldeumWealthy_Male_A	0.568359	0.001953	0.677734	0.120117	1164	4	1388	246
Portrait_CaldeumPoor_Female_A	0.681641	0.001953	0.791016	0.120117	1396	4	1620	246
Portrait_CaldeumChild_Female_A	0.794922	0.001953	0.904297	0.120117	1628	4	1852	246
Portrait_caldeumMiddleClass_Male_A	0.001953	0.124023	0.111328	0.242188	4	254	228	496
Portrait_caldeumGuard_Spear_B	0.115234	0.124023	0.224609	0.242188	236	254	460	496
Portrait_caldeumGuard_Cleaver_A	0.228516	0.124023	0.337891	0.242188	468	254	692	496
Portrait_caldeumPoor_Male_C	0.341797	0.124023	0.451172	0.242188	700	254	924	496
Portrait_caldeumPoor_Male_E	0.455078	0.124023	0.564453	0.242188	932	254	1156	496
Portrait_Poor_Caldeum_poet	0.568359	0.124023	0.677734	0.242188	1164	254	1388	496
Portrait_caldeum_poet	0.681641	0.124023	0.791016	0.242188	1396	254	1620	496
Portrait_Caldeumpoor	0.794922	0.124023	0.904297	0.242188	1628	254	1852	496
Portrait_Tinker	0.001953	0.246094	0.111328	0.364258	4	504	228	746
Portrait_Alchemist	0.115234	0.246094	0.224609	0.364258	236	504	460	746
Portrait_Sylvie	0.228516	0.246094	0.337891	0.364258	468	504	692	746
Portrait_Blacksmith	0.341797	0.246094	0.451172	0.364258	700	504	924	746
Portrait_Bastionguard_A	0.455078	0.246094	0.564453	0.364258	932	504	1156	746
Portrait_Bastionguard_B	0.568359	0.246094	0.677734	0.364258	1164	504	1388	746
Portrait_Bastionguard_C	0.681641	0.246094	0.791016	0.364258	1396	504	1620	746
Portrait_Bastionguard_C_red	0.794922	0.246094	0.904297	0.364258	1628	504	1852	746
Portrait_Mystic_ally	0.001953	0.368164	0.111328	0.486328	4	754	228	996
Portrait_Mystic_ally_alabaster	0.115234	0.368164	0.224609	0.486328	236	754	460	996
Portrait_Mystic_ally_crimson	0.228516	0.368164	0.337891	0.486328	468	754	692	996
Portrait_Mystic_ally_obsidian	0.341797	0.368164	0.451172	0.486328	700	754	924	996
Portrait_Mystic_ally_Female	0.455078	0.368164	0.564453	0.486328	932	754	1156	996
Portrait_Mystic_ally_alabaster_Female	0.568359	0.368164	0.677734	0.486328	1164	754	1388	996
Portrait_Mystic_ally_crimson_Female	0.681641	0.368164	0.791016	0.486328	1396	754	1620	996
Portrait_Mystic_ally_obsidian_Female	0.794922	0.368164	0.904297	0.486328	1628	754	1852	996
Portrait_Zakarum_Female_A	0.001953	0.490234	0.111328	0.608398	4	1004	228	1246
Portrait_Leoric_Alive	0.115234	0.490234	0.224609	0.608398	236	1004	460	1246
Portrait_ChildEmperor	0.228516	0.490234	0.337891	0.608398	468	1004	692	1246
Portrait_Vendel_the_Armorer	0.341797	0.490234	0.451172	0.608398	700	1004	924	1246
Portrait_mistress_of_pain	0.455078	0.490234	0.564453	0.608398	932	1004	1156	1246
Portrait_Follower_Enchantress	0.568359	0.490234	0.677734	0.608398	1164	1004	1388	1246
Portrait_Follower_Scoundrel	0.681641	0.490234	0.791016	0.608398	1396	1004	1620	1246
Portrait_Gargantuan	0.794922	0.490234	0.904297	0.608398	1628	1004	1852	1246
Portrait_Mystic	0.001953	0.612305	0.111328	0.730469	4	1254	228	1496
Portrait_Asheara	0.115234	0.612305	0.224609	0.730469	236	1254	460	1496
Portrait_Chancellor_Eamon	0.228516	0.612305	0.337891	0.730469	468	1254	692	1496
Portrait_Zoltan_Skull	0.341797	0.612305	0.451172	0.730469	700	1254	924	1496
Portrait_Zoltan_Complete	0.455078	0.612305	0.564453	0.730469	932	1254	1156	1496
Portrait_Zoltan_Sand	0.568359	0.612305	0.677734	0.730469	1164	1254	1388	1496
Portrait_Zakarum_Male_b	0.681641	0.612305	0.791016	0.730469	1396	1254	1620	1496
Portrait_Necromancer_Skeleton	0.794922	0.612305	0.904297	0.730469	1628	1254	1852	1496
