Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Portrait_Dueling_NPC	0.001953	0.003906	0.111328	0.240234	4	4	228	246
Portrait_Desoto	0.115234	0.003906	0.224609	0.240234	236	4	460	246
Portrait_NPC_Human_Female_02_B	0.228516	0.003906	0.337891	0.240234	468	4	692	246
Portrait_imperius	0.341797	0.003906	0.451172	0.240234	700	4	924	246
Portrait_Azmodan	0.455078	0.003906	0.564453	0.240234	932	4	1156	246
Portrait_Gluttony	0.568359	0.003906	0.677734	0.240234	1164	4	1388	246
Portrait_Tyrael	0.681641	0.003906	0.791016	0.240234	1396	4	1620	246
Portrait_Fate	0.794922	0.003906	0.904297	0.240234	1628	4	1852	246
Portrait_Diablo	0.001953	0.248047	0.111328	0.484375	4	254	228	496
Portrait_Angeltrooper	0.115234	0.248047	0.224609	0.484375	236	254	460	496
Portrait_Hope	0.228516	0.248047	0.337891	0.484375	468	254	692	496
Portrait_Belial	0.341797	0.248047	0.451172	0.484375	700	254	924	496
Portrait_Bastionguard_Melee_Captain_02	0.455078	0.248047	0.564453	0.484375	932	254	1156	496
Portrait_caldeumTortured_Poor_Male_D	0.568359	0.248047	0.677734	0.484375	1164	254	1388	496
Portrait_bastionGuard_Melee_B_02	0.681641	0.248047	0.791016	0.484375	1396	254	1620	496
Portrait_Archbishop_Lazarus	0.794922	0.248047	0.904297	0.484375	1628	254	1852	496
Portrait_Zakarum_Female_B	0.001953	0.492188	0.111328	0.728516	4	504	228	746
Portrait_ZKJailer	0.115234	0.492188	0.224609	0.728516	236	504	460	746
Portrait_TemplarNPC_Imprisoned	0.228516	0.492188	0.337891	0.728516	468	504	692	746
Portrait_ChildEmperorP	0.341797	0.492188	0.451172	0.728516	700	504	924	746
Portrait_Miner	0.455078	0.492188	0.564453	0.728516	932	504	1156	746
Portrait_DH_Boar	0.568359	0.492188	0.677734	0.728516	1164	504	1388	746
Portrait_DH_Spider	0.681641	0.492188	0.791016	0.728516	1396	504	1620	746
Portrait_DH_Wolf	0.794922	0.492188	0.904297	0.728516	1628	504	1852	746
