Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Portrait_Crusader_Female_x1	0.001953	0.001953	0.111328	0.120117	4	4	228	246
Portriat_Enchanted_SoulFragment_x1	0.115234	0.001953	0.224609	0.120117	236	4	460	246
Portrait_WestmarchFemale_A_x1	0.228516	0.001953	0.337891	0.120117	468	4	692	246
Portrait_WestmarchFemale_B_x1	0.341797	0.001953	0.451172	0.120117	700	4	924	246
Portrait_WestmarchFemale_C_x1	0.455078	0.001953	0.564453	0.120117	932	4	1156	246
Portrait_WestmarchFemale_D_x1	0.568359	0.001953	0.677734	0.120117	1164	4	1388	246
Portrait_WestmarchGuard_Melee_A_01_x1	0.681641	0.001953	0.791016	0.120117	1396	4	1620	246
Portrait_westmarchGuard_Melee_A_02_x1	0.794922	0.001953	0.904297	0.120117	1628	4	1852	246
Portrait_westmarchGuard_Ranged_A_01_x1	0.001953	0.124023	0.111328	0.242188	4	254	228	496
Portrait_westmarchGuard_Ranged_A_02_x1	0.115234	0.124023	0.224609	0.242188	236	254	460	496
Portrait_Lorath_x1	0.228516	0.124023	0.337891	0.242188	468	254	692	496
Portrait_NPC_Westmarch_Male_C_x1	0.341797	0.124023	0.451172	0.242188	700	254	924	496
Portrait_NPC_Westmarch_Male_D_x1	0.455078	0.124023	0.564453	0.242188	932	254	1156	496
Portrait_Urzael_x1	0.568359	0.124023	0.677734	0.242188	1164	254	1388	496
Portrait_Urzael_Angel_x1	0.681641	0.124023	0.791016	0.242188	1396	254	1620	496
Portrait_generalTorion_x1	0.794922	0.124023	0.904297	0.242188	1628	254	1852	496
Portrait_NPC_Westmarch_Wealthy_Male_A_x1	0.001953	0.246094	0.111328	0.364258	4	504	228	746
Portrait_LordWynton_x1	0.115234	0.246094	0.224609	0.364258	236	504	460	746
Portrait_DeathMaiden_A_x1	0.228516	0.246094	0.337891	0.364258	468	504	692	746
Portrait_WestmHub_Healer_x1	0.341797	0.246094	0.451172	0.364258	700	504	924	746
Portrait_TemplarNPC_x1	0.455078	0.246094	0.564453	0.364258	932	504	1156	746
Portrait_TemplarInquisitor_x1	0.568359	0.246094	0.677734	0.364258	1164	504	1388	746
Portrait_TemplarMaester_x1	0.681641	0.246094	0.791016	0.364258	1396	504	1620	746
Portrait_Captain_stokely_x1	0.794922	0.246094	0.904297	0.364258	1628	504	1852	746
Portrait_Baal_x1	0.001953	0.368164	0.111328	0.486328	4	754	228	996
Portrait_Lilith_x1	0.115234	0.368164	0.224609	0.486328	236	754	460	996
Portrait_Inarius_x1	0.228516	0.368164	0.337891	0.486328	468	754	692	996
Portrait_Mephisto_x1	0.341797	0.368164	0.451172	0.486328	700	754	924	996
Portrait_KingRakkis_x1	0.455078	0.368164	0.564453	0.486328	932	754	1156	996
Portrait_Justinian_x1	0.568359	0.368164	0.677734	0.486328	1164	754	1388	996
Portrait_Malthael_Boss_x1	0.681641	0.368164	0.791016	0.486328	1396	754	1620	996
Portrait_sniperAngel_A_x1	0.794922	0.368164	0.904297	0.486328	1628	754	1852	996
Portrait_fortress_SpiritMonk_x1	0.001953	0.490234	0.111328	0.608398	4	1004	228	1246
Portrait_fortress_SpiritBarbarian_x1	0.115234	0.490234	0.224609	0.608398	236	1004	460	1246
Portrait_fortress_SpiritDemonHunter_x1_v2	0.228516	0.490234	0.337891	0.608398	468	1004	692	1246
Portrait_fortress_SpiritDemonHunter_x1	0.341797	0.490234	0.451172	0.608398	700	1004	924	1246
Portrait_fortress_SpiritWitchDoctor_x1	0.455078	0.490234	0.564453	0.608398	932	1004	1156	1246
Portrait_fortress_SpiritWizard_x1	0.568359	0.490234	0.677734	0.608398	1164	1004	1388	1246
Portrait_fortress_SpiritCrusader_x1	0.681641	0.490234	0.791016	0.608398	1396	1004	1620	1246
Portrait_fortress_SpiritCrusader_Male_x1	0.794922	0.490234	0.904297	0.608398	1628	1004	1852	1246
Portrait_westmarch_adventure_lostgirl_x1	0.001953	0.612305	0.111328	0.730469	4	1254	228	1496
Portrait_sisterLysa_x1	0.115234	0.612305	0.224609	0.730469	236	1254	460	1496
Portrait_Westmarch_Boy_x1	0.228516	0.612305	0.337891	0.730469	468	1254	692	1496
Portrait_Adria_Boss_x1	0.341797	0.612305	0.451172	0.730469	700	1254	924	1496
Portrait_CowKing_x1	0.455078	0.612305	0.564453	0.730469	932	1254	1156	1496
Portrait_Zayl_x1	0.568359	0.612305	0.677734	0.730469	1164	1254	1388	1496
Portrait_NPC_CommonAngel_A_x1	0.681641	0.612305	0.791016	0.730469	1396	1254	1620	1496
Portrait_Brycen_BSmithApprentice_x1	0.794922	0.612305	0.904297	0.730469	1628	1254	1852	1496
Portrait_westm_Sophia_x1	0.001953	0.734375	0.111328	0.852539	4	1504	228	1746
Portrait_Barbarian_KKG_Follower_P3	0.115234	0.734375	0.224609	0.852539	236	1504	460	1746
