Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Cosmetic_PortraitFrame_01	0.000000	0.000000	0.048828	0.166016	0	0	100	170
Cosmetic_PortraitFrame_02	0.048828	0.000000	0.097656	0.166016	100	0	200	170
Cosmetic_PortraitFrame_03	0.097656	0.000000	0.146484	0.166016	200	0	300	170
Cosmetic_PortraitFrame_04	0.146484	0.000000	0.195313	0.166016	300	0	400	170
Cosmetic_PortraitFrame_05	0.195313	0.000000	0.244141	0.166016	400	0	500	170
Cosmetic_PortraitFrame_06	0.244141	0.000000	0.292969	0.166016	500	0	600	170
Cosmetic_PortraitFrame_07	0.292969	0.000000	0.341797	0.166016	600	0	700	170
Cosmetic_PortraitFrame_08	0.341797	0.000000	0.390625	0.166016	700	0	800	170
Cosmetic_PortraitFrame_09	0.390625	0.000000	0.439453	0.166016	800	0	900	170
Cosmetic_PortraitFrame_10	0.439453	0.000000	0.488281	0.166016	900	0	1000	170
Cosmetic_PortraitFrame_11	0.488281	0.000000	0.537109	0.166016	1000	0	1100	170
Cosmetic_PortraitFrame_12	0.537109	0.000000	0.585938	0.166016	1100	0	1200	170
Cosmetic_PortraitFrame_13	0.585938	0.000000	0.634766	0.166016	1200	0	1300	170
Cosmetic_PortraitFrame_14	0.634766	0.000000	0.683594	0.166016	1300	0	1400	170
Cosmetic_PortraitFrame_15	0.683594	0.000000	0.732422	0.166016	1400	0	1500	170
Cosmetic_PortraitFrame_16_P3	0.732422	0.000000	0.781250	0.166016	1500	0	1600	170
Cosmetic_PortraitFrame_17_P3	0.781250	0.000000	0.830078	0.166016	1600	0	1700	170
Cosmetic_PortraitFrame_18_P3	0.830078	0.000000	0.878906	0.166016	1700	0	1800	170
Cosmetic_PortraitFrame_19_P3	0.878906	0.000000	0.927734	0.166016	1800	0	1900	170
Cosmetic_PortraitFrame_20_P3	0.927734	0.000000	0.976563	0.166016	1900	0	2000	170
Cosmetic_PortraitFrame_21_P3	0.000000	0.166016	0.048828	0.332031	0	170	100	340
Cosmetic_PortraitFrame_23	0.048828	0.166016	0.097656	0.332031	100	170	200	340
Cosmetic_PortraitFrame_24	0.097656	0.166016	0.146484	0.332031	200	170	300	340
Cosmetic_PortraitFrame_S5_T0	0.146484	0.166016	0.195313	0.332031	300	170	400	340
Cosmetic_PortraitFrame_S5_T1	0.195313	0.166016	0.244141	0.332031	400	170	500	340
Cosmetic_PortraitFrame_S5_T2	0.244141	0.166016	0.292969	0.332031	500	170	600	340
Cosmetic_PortraitFrame_S5_T3	0.292969	0.166016	0.341797	0.332031	600	170	700	340
