Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Prestige_TooltipFrame	0.000977	0.003906	0.150391	0.105469	2	2	308	54
Prestige_PortraitBanner_01	0.153320	0.453125	0.202148	0.705078	314	232	414	361
Prestige_PortraitBanner_02	0.204102	0.453125	0.252930	0.705078	418	232	518	361
Prestige_PortraitBanner_03	0.254883	0.453125	0.303711	0.705078	522	232	622	361
Prestige_PortraitBanner_04	0.305664	0.453125	0.354492	0.705078	626	232	726	361
Prestige_PortraitBanner_05	0.356445	0.453125	0.405273	0.705078	730	232	830	361
Prestige_PortraitBanner_06	0.407227	0.453125	0.456055	0.705078	834	232	934	361
Prestige_PortraitBanner_Retro	0.305664	0.113281	0.354492	0.445313	626	58	726	228
Prestige_PortraitCircle_01	0.610352	0.453125	0.659180	0.705078	1250	232	1350	361
Prestige_PortraitCircle_02	0.051758	0.453125	0.100586	0.705078	106	232	206	361
Prestige_PortraitCircle_03	0.508789	0.453125	0.557617	0.705078	1042	232	1142	361
Prestige_PortraitCircle_04	0.458008	0.453125	0.506836	0.705078	938	232	1038	361
Prestige_PortraitHealth_01	0.406250	0.003906	0.455078	0.052734	832	2	932	27
Prestige_PortraitHealth_02	0.152344	0.003906	0.201172	0.052734	312	2	412	27
Prestige_PortraitHealth_03	0.203125	0.003906	0.251953	0.052734	416	2	516	27
Prestige_PortraitHealth_04	0.253906	0.003906	0.302734	0.052734	520	2	620	27
Prestige_PortraitHealth_05	0.304688	0.003906	0.353516	0.052734	624	2	724	27
Prestige_PortraitHealth_Retro	0.355469	0.003906	0.404297	0.052734	728	2	828	27
Prestige_PortraitFrame_Shadow	0.965820	0.113281	0.992676	0.179688	1978	58	2033	92
Prestige_PortraitName_Shadow	0.661133	0.453125	0.697754	0.519531	1354	232	1429	266
Prestige_PortraitFrame_00	0.000977	0.453125	0.049805	0.785156	2	232	102	402
Prestige_PortraitFrame_01	0.915039	0.113281	0.963867	0.445313	1874	58	1974	228
Prestige_PortraitFrame_02	0.864258	0.113281	0.913086	0.445313	1770	58	1870	228
Prestige_PortraitFrame_03	0.813477	0.113281	0.862305	0.445313	1666	58	1766	228
Prestige_PortraitFrame_04	0.762695	0.113281	0.811523	0.445313	1562	58	1662	228
Prestige_PortraitFrame_05	0.711914	0.113281	0.760742	0.445313	1458	58	1558	228
Prestige_PortraitFrame_06	0.661133	0.113281	0.709961	0.445313	1354	58	1454	228
Prestige_PortraitFrame_07	0.610352	0.113281	0.659180	0.445313	1250	58	1350	228
Prestige_PortraitFrame_08	0.559570	0.113281	0.608398	0.445313	1146	58	1246	228
Prestige_PortraitFrame_09	0.508789	0.113281	0.557617	0.445313	1042	58	1142	228
Prestige_PortraitFrame_10	0.458008	0.113281	0.506836	0.445313	938	58	1038	228
Prestige_PortraitFrame_11	0.407227	0.113281	0.456055	0.445313	834	58	934	228
Prestige_PortraitFrame_12	0.356445	0.113281	0.405273	0.445313	730	58	830	228
Prestige_PortraitFrame_13	0.254883	0.113281	0.303711	0.445313	522	58	622	228
Prestige_PortraitFrame_14	0.204102	0.113281	0.252930	0.445313	418	58	518	228
Prestige_PortraitFrame_15	0.153320	0.113281	0.202148	0.445313	314	58	414	228
Prestige_PortraitFrame_16	0.102539	0.113281	0.151367	0.445313	210	58	310	228
Prestige_PortraitFrame_17	0.051758	0.113281	0.100586	0.445313	106	58	206	228
Prestige_PortraitFrame_18	0.000977	0.113281	0.049805	0.445313	2	58	102	228
Prestige_PortraitCircle_default	0.102539	0.453125	0.151367	0.705078	210	232	310	361
Prestige_PortraitCircle_hardcore	0.559570	0.453125	0.608398	0.705078	1146	232	1246	361
