Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
RuneA_Crimson_Rank1_Inventory	0.000000	0.000000	0.031250	0.500000	0	0	64	64
RuneA_Crimson_Rank2_Inventory	0.031250	0.000000	0.062500	0.500000	64	0	128	64
RuneA_Crimson_Rank3_Inventory	0.062500	0.000000	0.093750	0.500000	128	0	192	64
RuneA_Crimson_Rank4_Inventory	0.093750	0.000000	0.125000	0.500000	192	0	256	64
RuneA_Crimson_Rank5_Inventory	0.125000	0.000000	0.156250	0.500000	256	0	320	64
RuneA_Crimson_Rank6_Inventory	0.156250	0.000000	0.187500	0.500000	320	0	384	64
RuneA_Crimson_Rank7_Inventory	0.187500	0.000000	0.218750	0.500000	384	0	448	64
RuneB_Indigo_Rank1_Inventory	0.218750	0.000000	0.250000	0.500000	448	0	512	64
RuneB_Indigo_Rank2_Inventory	0.250000	0.000000	0.281250	0.500000	512	0	576	64
RuneB_Indigo_Rank3_Inventory	0.281250	0.000000	0.312500	0.500000	576	0	640	64
RuneB_Indigo_Rank4_Inventory	0.312500	0.000000	0.343750	0.500000	640	0	704	64
RuneB_Indigo_Rank5_Inventory	0.343750	0.000000	0.375000	0.500000	704	0	768	64
RuneB_Indigo_Rank6_Inventory	0.375000	0.000000	0.406250	0.500000	768	0	832	64
RuneB_Indigo_Rank7_Inventory	0.406250	0.000000	0.437500	0.500000	832	0	896	64
RuneC_Obsidian_Rank1_Inventory	0.437500	0.000000	0.468750	0.500000	896	0	960	64
RuneC_Obsidian_Rank2_Inventory	0.468750	0.000000	0.500000	0.500000	960	0	1024	64
RuneC_Obsidian_Rank3_Inventory	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64
RuneC_Obsidian_Rank4_Inventory	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64
RuneC_Obsidian_Rank5_Inventory	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64
RuneC_Obsidian_Rank6_Inventory	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64
RuneC_Obsidian_Rank7_Inventory	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64
RuneD_Golden_Rank1_Inventory	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64
RuneD_Golden_Rank2_Inventory	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64
RuneD_Golden_Rank3_Inventory	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64
RuneD_Golden_Rank4_Inventory	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64
RuneD_Golden_Rank5_Inventory	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64
RuneD_Golden_Rank6_Inventory	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64
RuneD_Golden_Rank7_Inventory	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64
RuneE_Alabaster_Rank1_Inventory	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64
RuneE_Alabaster_Rank2_Inventory	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64
RuneE_Alabaster_Rank3_Inventory	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64
RuneE_Alabaster_Rank4_Inventory	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64
RuneE_Alabaster_Rank5_Inventory	0.000000	0.500000	0.031250	1.000000	0	64	64	128
RuneE_Alabaster_Rank6_Inventory	0.031250	0.500000	0.062500	1.000000	64	64	128	128
RuneE_Alabaster_Rank7_Inventory	0.062500	0.500000	0.093750	1.000000	128	64	192	128
RuneX_Unattuned_Rank1_Inventory	0.093750	0.500000	0.125000	1.000000	192	64	256	128
RuneX_Unattuned_Rank2_Inventory	0.125000	0.500000	0.156250	1.000000	256	64	320	128
RuneX_Unattuned_Rank3_Inventory	0.156250	0.500000	0.187500	1.000000	320	64	384	128
RuneX_Unattuned_Rank4_Inventory	0.187500	0.500000	0.218750	1.000000	384	64	448	128
RuneX_Unattuned_Rank5_Inventory	0.218750	0.500000	0.250000	1.000000	448	64	512	128
RuneX_Unattuned_Rank6_Inventory	0.250000	0.500000	0.281250	1.000000	512	64	576	128
RuneX_Unattuned_Rank7_Inventory	0.281250	0.500000	0.312500	1.000000	576	64	640	128
