Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
Rune01Icon	0.000000	0.000000	0.166667	0.166667	0	0	64	64
Rune02Icon	0.166667	0.000000	0.333333	0.166667	64	0	128	64
Rune03Icon	0.333333	0.000000	0.500000	0.166667	128	0	192	64
Rune04Icon	0.500000	0.000000	0.666667	0.166667	192	0	256	64
Rune05Icon	0.666667	0.000000	0.833333	0.166667	256	0	320	64
Rune06Icon	0.833333	0.000000	1.000000	0.166667	320	0	384	64
Rune07Icon	0.000000	0.166667	0.166667	0.333333	0	64	64	128
Rune08Icon	0.166667	0.166667	0.333333	0.333333	64	64	128	128
Rune09Icon	0.333333	0.166667	0.500000	0.333333	128	64	192	128
Rune10Icon	0.500000	0.166667	0.666667	0.333333	192	64	256	128
Rune11Icon	0.666667	0.166667	0.833333	0.333333	256	64	320	128
Rune12Icon	0.833333	0.166667	1.000000	0.333333	320	64	384	128
Rune13Icon	0.000000	0.333333	0.166667	0.500000	0	128	64	192
Rune14Icon	0.166667	0.333333	0.333333	0.500000	64	128	128	192
Rune15Icon	0.333333	0.333333	0.500000	0.500000	128	128	192	192
Rune16Icon	0.500000	0.333333	0.666667	0.500000	192	128	256	192
Rune17Icon	0.666667	0.333333	0.833333	0.500000	256	128	320	192
Rune18Icon	0.833333	0.333333	1.000000	0.500000	320	128	384	192
Rune19Icon	0.000000	0.500000	0.166667	0.666667	0	192	64	256
Rune20Icon	0.166667	0.500000	0.333333	0.666667	64	192	128	256
Rune21Icon	0.333333	0.500000	0.500000	0.666667	128	192	192	256
Rune22Icon	0.500000	0.500000	0.666667	0.666667	192	192	256	256
Rune23Icon	0.666667	0.500000	0.833333	0.666667	256	192	320	256
Rune24Icon	0.833333	0.500000	1.000000	0.666667	320	192	384	256
Rune25Icon	0.000000	0.666667	0.166667	0.833333	0	256	64	320
Rune26Icon	0.166667	0.666667	0.333333	0.833333	64	256	128	320
Rune27Icon	0.333333	0.666667	0.500000	0.833333	128	256	192	320
Rune28Icon	0.500000	0.666667	0.666667	0.833333	192	256	256	320
Rune29Icon	0.666667	0.666667	0.833333	0.833333	256	256	320	320
Rune30Icon	0.833333	0.666667	1.000000	0.833333	320	256	384	320
Rune31Icon	0.000000	0.833333	0.166667	1.000000	0	320	64	384
Rune32Icon	0.166667	0.833333	0.333333	1.000000	64	320	128	384
Rune33Icon	0.333333	0.833333	0.500000	1.000000	128	320	192	384
	0.500000	0.833333	0.666667	1.000000	192	320	256	384
	0.666667	0.833333	0.833333	1.000000	256	320	320	384
	0.833333	0.833333	1.000000	1.000000	320	320	384	384
