Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p1_Boots_HVY_norm_set_01_diff	0.001953	0.003906	0.064453	0.253906	2	2	66	130
p1_boots_season_set_01_barb_M	0.068359	0.003906	0.130859	0.253906	70	2	134	130
p1_boots_season_set_01_crusader	0.134766	0.003906	0.197266	0.253906	138	2	202	130
p1_boots_season_set_01_dh	0.201172	0.003906	0.263672	0.253906	206	2	270	130
p1_boots_season_set_01_monk	0.267578	0.003906	0.330078	0.253906	274	2	338	130
p1_boots_season_set_01_WD	0.333984	0.003906	0.396484	0.253906	342	2	406	130
p1_boots_season_set_01_wizard	0.400391	0.003906	0.462891	0.253906	410	2	474	130
p2_boots_season_set_02_wizard	0.466797	0.003906	0.529297	0.253906	478	2	542	130
p2_boots_season_set_05_demonhunter	0.533203	0.003906	0.595703	0.253906	546	2	610	130
p2_boots_norm_set_01_icon	0.599609	0.003906	0.662109	0.253906	614	2	678	130
p2_boots_norm_set_03_monk	0.666016	0.003906	0.728516	0.253906	682	2	746	130
p2_Boots_CDRM_norm_set_06_icon	0.732422	0.003906	0.794922	0.253906	750	2	814	130
p3_boots_norm_set_04_WD	0.798828	0.003906	0.861328	0.253906	818	2	882	130
p4_boots_norm_set_12_icon	0.865234	0.003906	0.927734	0.253906	886	2	950	130
p6_boots_norm_base_02_NM_icon	0.931641	0.003906	0.994141	0.253906	954	2	1018	130
p6_boots_norm_base_03_NM_icon	0.001953	0.261719	0.064453	0.511719	2	134	66	262
p6_boots_norm_base_06_NM_icon	0.068359	0.261719	0.130859	0.511719	70	134	134	262
p6_boots_nightmare_base_01_NM_icon	0.134766	0.261719	0.197266	0.511719	138	134	202	262
p6_boots_hell_base_01_NM_icon	0.201172	0.261719	0.263672	0.511719	206	134	270	262
p6_boots_hell_base_03_NM_icon	0.267578	0.261719	0.330078	0.511719	274	134	338	262
p6_boots_hell_base_07_NM_icon	0.333984	0.261719	0.396484	0.511719	342	134	406	262
p6_boots_hell_base_08_NM_icon	0.400391	0.261719	0.462891	0.511719	410	134	474	262
p6_boots_norm_set_17_NM_icon	0.466797	0.261719	0.529297	0.511719	478	134	542	262
p6_boots_norm_set_18_nm_icon	0.533203	0.261719	0.595703	0.511719	546	134	610	262
p6_boots_norm_set_19_nm_icon	0.599609	0.261719	0.662109	0.511719	614	134	678	262
p6_boots_norm_set_20_nm_icon	0.666016	0.261719	0.728516	0.511719	682	134	746	262
p6_boots_norm_set_21_nm_icon	0.732422	0.261719	0.794922	0.511719	750	134	814	262
p6_boots_norm_set_22_nm_icon	0.798828	0.261719	0.861328	0.511719	818	134	882	262
p6_boots_Hell_Base_03_Necro_icon	0.865234	0.261719	0.927734	0.511719	886	134	950	262
p67_boots_cdr_season_set_01_icon	0.931641	0.261719	0.994141	0.511719	954	134	1018	262
p67_boots_monk_season_set_01_icon	0.001953	0.519531	0.064453	0.769531	2	266	66	394
