Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p1_Chest_F_HVY_norm_set_01_diff	0.000977	0.003906	0.041016	0.324219	2	2	84	166
p1_Chest_M_HVY_norm_set_01_diff	0.042969	0.003906	0.083008	0.324219	88	2	170	166
p1_chestArmor_season_set_01_barb_F	0.084961	0.003906	0.125000	0.324219	174	2	256	166
p1_chestArmor_season_set_01_barb_M	0.126953	0.003906	0.166992	0.324219	260	2	342	166
p1_chestArmor_season_set_01_crusader	0.168945	0.003906	0.208984	0.324219	346	2	428	166
p1_chestArmor_season_set_01_crusader_F	0.210938	0.003906	0.250977	0.324219	432	2	514	166
p1_chestArmor_season_set_01_dh_F	0.252930	0.003906	0.292969	0.324219	518	2	600	166
p1_chestArmor_season_set_01_dh_M	0.294922	0.003906	0.334961	0.324219	604	2	686	166
p1_chestArmor_season_set_01_monk	0.336914	0.003906	0.376953	0.324219	690	2	772	166
p1_chestArmor_season_set_01_monk_F	0.378906	0.003906	0.418945	0.324219	776	2	858	166
p1_chestArmor_season_set_01_WD_F	0.420898	0.003906	0.460938	0.324219	862	2	944	166
p1_chestArmor_season_set_01_WD_M	0.462891	0.003906	0.502930	0.324219	948	2	1030	166
p1_chestArmor_season_set_01_wizard_F	0.504883	0.003906	0.544922	0.324219	1034	2	1116	166
p1_chestArmor_season_set_01_wizard_M	0.546875	0.003906	0.586914	0.324219	1120	2	1202	166
p2_chestArmor_season_set_02_wizard_F	0.588867	0.003906	0.628906	0.324219	1206	2	1288	166
p2_chestArmor_season_set_02_wizard_M	0.630859	0.003906	0.670898	0.324219	1292	2	1374	166
p2_chestArmor_season_set_05_demonhunter_M	0.465820	0.332031	0.497070	0.582031	954	170	1018	298
p2_chestArmor_norm_set_01_icon	0.432617	0.332031	0.463867	0.582031	886	170	950	298
p2_chestArmor_norm_set_01_barb_F_icon	0.399414	0.332031	0.430664	0.582031	818	170	882	298
p2_chestArmor_norm_set_03_Monk_M	0.366211	0.332031	0.397461	0.582031	750	170	814	298
p2_chestArmor_norm_set_03_Monk_F	0.333008	0.332031	0.364258	0.582031	682	170	746	298
p2_chestArmor_norm_set_11_barb_M_icon	0.299805	0.332031	0.331055	0.582031	614	170	678	298
p2_chestArmor_norm_set_11_DH_M_icon	0.133789	0.332031	0.165039	0.582031	274	170	338	298
p2_chestArmor_norm_set_11_wiz_M_icon	0.966797	0.003906	0.998047	0.253906	1980	2	2044	130
p2_chestArmor_norm_set_11_wiz_F_icon	0.000977	0.332031	0.032227	0.582031	2	170	66	298
p2_chestArmor_norm_set_11_monk_M_icon	0.034180	0.332031	0.065430	0.582031	70	170	134	298
p2_chestArmor_norm_set_11_monk_F_icon	0.067383	0.332031	0.098633	0.582031	138	170	202	298
p2_chestArmor_norm_set_11_WD_M_icon	0.100586	0.332031	0.131836	0.582031	206	170	270	298
p2_chestArmor_norm_set_11_WD_F_icon	0.067383	0.589844	0.098633	0.839844	138	302	202	430
p2_chestArmor_norm_set_11_cdr_M_icon	0.166992	0.332031	0.198242	0.582031	342	170	406	298
