Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p1_Gloves_HVY_norm_set_01_diff	0.000977	0.007813	0.032227	0.507813	2	2	66	130
p1_gloves_season_set_01_barb_M	0.034180	0.007813	0.065430	0.507813	70	2	134	130
p1_gloves_season_set_01_crusader_M	0.067383	0.007813	0.098633	0.507813	138	2	202	130
p1_gloves_season_set_01_dh_M	0.100586	0.007813	0.131836	0.507813	206	2	270	130
p1_gloves_season_set_01_monk_M	0.133789	0.007813	0.165039	0.507813	274	2	338	130
p1_gloves_season_set_01_WD_M	0.166992	0.007813	0.198242	0.507813	342	2	406	130
p1_gloves_season_set_01_wizard_M	0.200195	0.007813	0.231445	0.507813	410	2	474	130
p2_gloves_season_set_02_wizard_M	0.233398	0.007813	0.264648	0.507813	478	2	542	130
p2_gloves_season_set_05_demonhunter_M	0.266602	0.007813	0.297852	0.507813	546	2	610	130
p2_gloves_norm_set_01_icon	0.299805	0.007813	0.331055	0.507813	614	2	678	130
p2_gloves_norm_set_03	0.333008	0.007813	0.364258	0.507813	682	2	746	130
p2_GloveIcons_CDRM_norm_set_06_icon	0.366211	0.007813	0.397461	0.507813	750	2	814	130
p3_gloves_norm_set_04_WD_M	0.399414	0.007813	0.430664	0.507813	818	2	882	130
p6_gloves_norm_base_02_NM_icon	0.432617	0.007813	0.463867	0.507813	886	2	950	130
p6_gloves_norm_base_03_NM_icon	0.465820	0.007813	0.497070	0.507813	954	2	1018	130
p6_gloves_norm_base_06_NM_icon	0.499023	0.007813	0.530273	0.507813	1022	2	1086	130
p6_gloves_nightmare_base_01_NM_icon	0.532227	0.007813	0.563477	0.507813	1090	2	1154	130
p6_gloves_hell_base_01_NM_icon	0.565430	0.007813	0.596680	0.507813	1158	2	1222	130
p6_gloves_hell_base_03_NM_icon	0.598633	0.007813	0.629883	0.507813	1226	2	1290	130
p6_gloves_hell_base_07_NM_icon	0.631836	0.007813	0.663086	0.507813	1294	2	1358	130
p6_gloves_hell_base_08_NM_icon	0.665039	0.007813	0.696289	0.507813	1362	2	1426	130
p6_gloves_norm_set_17_NM_icon	0.698242	0.007813	0.729492	0.507813	1430	2	1494	130
p6_gloves_norm_set_18_nm_icon	0.731445	0.007813	0.762695	0.507813	1498	2	1562	130
p6_gloves_norm_set_19_nm_icon	0.764648	0.007813	0.795898	0.507813	1566	2	1630	130
p6_gloves_norm_set_20_nm_icon	0.797852	0.007813	0.829102	0.507813	1634	2	1698	130
p6_gloves_norm_set_21_nm_icon	0.831055	0.007813	0.862305	0.507813	1702	2	1766	130
p6_gloves_norm_set_22_nm_icon	0.864258	0.007813	0.895508	0.507813	1770	2	1834	130
p6_gloves_Hell_Base_03_Necro_icon	0.897461	0.007813	0.928711	0.507813	1838	2	1902	130
p67_gloves_cdr_season_set_01_icon	0.930664	0.007813	0.961914	0.507813	1906	2	1970	130
p67_gloves_monk_season_set_01_icon	0.963867	0.007813	0.995117	0.507813	1974	2	2038	130
