Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p1_Pants_HVY_norm_set_01_diff	0.000000	0.000000	0.031250	0.500000	0	0	64	128
p1_pants_season_set_01_barb_M	0.031250	0.000000	0.062500	0.500000	64	0	128	128
p1_pants_season_set_01_crusader_M	0.062500	0.000000	0.093750	0.500000	128	0	192	128
p1_pants_season_set_01_dh_M	0.093750	0.000000	0.125000	0.500000	192	0	256	128
p1_pants_season_set_01_monk_M	0.125000	0.000000	0.156250	0.500000	256	0	320	128
p1_pants_season_set_01_WD_M	0.156250	0.000000	0.187500	0.500000	320	0	384	128
p1_pants_season_set_01_wizard_M	0.187500	0.000000	0.218750	0.500000	384	0	448	128
p2_pants_season_set_02_wizard_M	0.218750	0.000000	0.250000	0.500000	448	0	512	128
p2_pants_season_set_05_Demonhunter_M	0.250000	0.000000	0.281250	0.500000	512	0	576	128
p2_pants_norm_set_01_icon	0.281250	0.000000	0.312500	0.500000	576	0	640	128
p2_pants_norm_set_03_monk_m	0.312500	0.000000	0.343750	0.500000	640	0	704	128
p2_pants_norm_set_11_barb_M_icon	0.343750	0.000000	0.375000	0.500000	704	0	768	128
p2_pants_norm_set_11_DH_M_icon	0.375000	0.000000	0.406250	0.500000	768	0	832	128
p2_pants_norm_set_11_wiz_M_icon	0.406250	0.000000	0.437500	0.500000	832	0	896	128
p2_pants_norm_set_11_wiz_F_icon	0.437500	0.000000	0.468750	0.500000	896	0	960	128
p2_pants_norm_set_11_monk_M_icon	0.468750	0.000000	0.500000	0.500000	960	0	1024	128
p2_pants_norm_set_11_monk_F_icon	0.500000	0.000000	0.531250	0.500000	1024	0	1088	128
p2_pants_norm_set_11_WD_M_icon	0.531250	0.000000	0.562500	0.500000	1088	0	1152	128
p2_pants_norm_set_11_WD_F_icon	0.562500	0.000000	0.593750	0.500000	1152	0	1216	128
p2_pants_norm_set_11_cdr_M_icon	0.593750	0.000000	0.625000	0.500000	1216	0	1280	128
p2_pants_norm_set_06_cdr_M_icon	0.625000	0.000000	0.656250	0.500000	1280	0	1344	128
p3_pants_norm_set_04_WD_M	0.656250	0.000000	0.687500	0.500000	1344	0	1408	128
p4_pants_norm_set_12_icon	0.687500	0.000000	0.718750	0.500000	1408	0	1472	128
p6_pants_norm_base_02_NM_icon	0.718750	0.000000	0.750000	0.500000	1472	0	1536	128
p6_pants_norm_base_02_NM_F_icon	0.750000	0.000000	0.781250	0.500000	1536	0	1600	128
p6_pants_norm_base_03_NM_icon	0.781250	0.000000	0.812500	0.500000	1600	0	1664	128
p6_pants_norm_base_06_NM_icon	0.812500	0.000000	0.843750	0.500000	1664	0	1728	128
p6_pants_nightmare_base_01_NM_icon	0.843750	0.000000	0.875000	0.500000	1728	0	1792	128
p6_pants_hell_base_01_NM_icon	0.875000	0.000000	0.906250	0.500000	1792	0	1856	128
p6_pants_hell_base_03_NM_icon	0.906250	0.000000	0.937500	0.500000	1856	0	1920	128
p6_pants_hell_base_07_NM_icon	0.937500	0.000000	0.968750	0.500000	1920	0	1984	128
p6_pants_hell_base_08_NM_icon	0.968750	0.000000	1.000000	0.500000	1984	0	2048	128
p6_pants_norm_set_17_NM_icon	0.000000	0.500000	0.031250	1.000000	0	128	64	256
p6_pants_norm_set_18_nm_icon	0.031250	0.500000	0.062500	1.000000	64	128	128	256
p6_pants_norm_set_19_nm_icon	0.062500	0.500000	0.093750	1.000000	128	128	192	256
p6_pants_norm_set_20_nm_icon	0.093750	0.500000	0.125000	1.000000	192	128	256	256
p6_pants_norm_set_21_nm_icon	0.125000	0.500000	0.156250	1.000000	256	128	320	256
p6_pants_norm_set_22_nm_icon	0.156250	0.500000	0.187500	1.000000	320	128	384	256
p6_pants_Hell_Base_03_Necro_icon	0.187500	0.500000	0.218750	1.000000	384	128	448	256
p67_pants_cdr_season_set_01_icon	0.218750	0.500000	0.250000	1.000000	448	128	512	256
p67_pants_monk_season_set_01_icon	0.250000	0.500000	0.281250	1.000000	512	128	576	256
